,gender,new_car_price,road_haul,use_date,displacement,follow,transfer,service_price,flaw,price,hedge_ratio
gender,1.0,0.03082445358296604,-0.059743410103529355,0.026549462140394754,-0.012119643805577944,0.009954879635633232,-0.02422513784512911,0.02735937231552439,-0.015697229316873913,0.03301237935957593,-0.00010271243837636632
new_car_price,0.03082445358296604,1.0,0.07391899198347986,0.04684915129256659,0.72516878181441,0.07543042045738602,0.13090752526463237,0.9030631035108596,-0.1167245485348867,0.9102043947651118,0.008008329542556786
road_haul,-0.059743410103529355,0.07391899198347986,1.0,0.7023731419023119,0.1808366842449958,-0.1092602813091407,0.21613254110609742,-0.08627449917834303,0.22060820961934105,-0.10667840489305175,-0.6578320131113438
use_date,0.026549462140394754,0.04684915129256659,0.7023731419023119,1.0,0.12921267028518868,-0.02955475135108651,0.2834188314507063,-0.1323576367306116,0.208473903909055,-0.17208329878378012,-0.8442133264537699
displacement,-0.012119643805577944,0.72516878181441,0.1808366842449958,0.12921267028518868,1.0,0.02857895972731376,0.1166957805664021,0.6157017241998802,-0.07411145292915333,0.641520934111439,-0.01267751162993062
follow,0.009954879635633232,0.07543042045738602,-0.1092602813091407,-0.02955475135108651,0.02857895972731376,1.0,-0.01021977989614042,0.0696524208045236,-0.051975115554930285,0.07539550294149862,0.02102480358691883
transfer,-0.02422513784512911,0.13090752526463237,0.21613254110609742,0.2834188314507063,0.1166957805664021,-0.01021977989614042,1.0,0.04896391909773208,0.000842662913211244,0.04349715835764099,-0.2493692027066872
service_price,0.02735937231552439,0.9030631035108596,-0.08627449917834303,-0.1323576367306116,0.6157017241998802,0.0696524208045236,0.04896391909773208,1.0,-0.1391320854219471,0.9909970869717059,0.22147218800191246
flaw,-0.015697229316873913,-0.1167245485348867,0.22060820961934105,0.208473903909055,-0.07411145292915333,-0.051975115554930285,0.000842662913211244,-0.1391320854219471,1.0,-0.161319350948262,-0.23489314244091306
price,0.03301237935957593,0.9102043947651118,-0.10667840489305175,-0.17208329878378012,0.641520934111439,0.07539550294149862,0.04349715835764099,0.9909970869717059,-0.161319350948262,1.0,0.27564375027614474
hedge_ratio,-0.00010271243837636632,0.008008329542556786,-0.6578320131113438,-0.8442133264537699,-0.01267751162993062,0.02102480358691883,-0.2493692027066872,0.22147218800191246,-0.23489314244091306,0.27564375027614474,1.0
